application_number,product_number,chemical_name,dosage
NDA000004,004,HYDROXYAMPHETAMINE HYDROBROMIDE,1%
ANDA076187,009,LEVOTHYROXINE SODIUM,0.175MG
ANDA076187,007,LEVOTHYROXINE SODIUM,0.125MG
ANDA076187,005,LEVOTHYROXINE SODIUM,0.1MG
ANDA076187,011,LEVOTHYROXINE SODIUM,0.3MG
ANDA076187,003,LEVOTHYROXINE SODIUM,0.075MG
ANDA076187,001,LEVOTHYROXINE SODIUM,0.025MG
ANDA076187,008,LEVOTHYROXINE SODIUM,0.15MG
ANDA076187,006,LEVOTHYROXINE SODIUM,0.112MG
ANDA076187,012,LEVOTHYROXINE SODIUM,0.137MG
ANDA076187,004,LEVOTHYROXINE SODIUM,0.088MG
ANDA076187,010,LEVOTHYROXINE SODIUM,0.2MG
ANDA076187,002,LEVOTHYROXINE SODIUM,0.05MG
ANDA076194,003,HYDROCHLOROTHIAZIDE,12.5MG
ANDA076194,003,LISINOPRIL,10MG
ANDA076194,001,HYDROCHLOROTHIAZIDE,12.5MG
ANDA076194,001,LISINOPRIL,20MG
ANDA076194,002,HYDROCHLOROTHIAZIDE,25MG
ANDA076194,002,LISINOPRIL,20MG
ANDA076203,001,RIBAVIRIN,200MG
ANDA076219,003,MIRTAZAPINE,45MG
ANDA076219,001,MIRTAZAPINE,15MG
ANDA076219,002,MIRTAZAPINE,30MG
ANDA076220,002,OFLOXACIN,300MG
ANDA076220,003,OFLOXACIN,400MG
ANDA076220,001,OFLOXACIN,200MG
ANDA076230,003,HYDROCHLOROTHIAZIDE,25MG
ANDA076230,003,LISINOPRIL,20MG
ANDA076230,001,HYDROCHLOROTHIAZIDE,12.5MG
ANDA076230,001,LISINOPRIL,10MG
ANDA076230,002,HYDROCHLOROTHIAZIDE,12.5MG
ANDA076230,002,LISINOPRIL,20MG
ANDA076236,001,FEXOFENADINE HYDROCHLORIDE,60MG
ANDA076236,001,PSEUDOEPHEDRINE HYDROCHLORIDE,120MG
ANDA076278,001,FLECAINIDE ACETATE,50MG
ANDA076278,002,FLECAINIDE ACETATE,100MG
ANDA076278,003,FLECAINIDE ACETATE,150MG
ANDA076299,001,AMIODARONE HYDROCHLORIDE,50MG
ANDA076314,001,TOPIRAMATE,25MG
ANDA076314,004,TOPIRAMATE,200MG
ANDA076314,002,TOPIRAMATE,50MG
ANDA076314,003,TOPIRAMATE,100MG
ANDA076316,001,SODIUM CHLORIDE,900MG
ANDA076333,003,BENAZEPRIL HYDROCHLORIDE,20MG
ANDA076333,001,BENAZEPRIL HYDROCHLORIDE,5MG
ANDA076333,004,BENAZEPRIL HYDROCHLORIDE,40MG
ANDA076333,002,BENAZEPRIL HYDROCHLORIDE,10MG
ANDA076348,003,BENAZEPRIL HYDROCHLORIDE,20MG
ANDA076348,003,HYDROCHLOROTHIAZIDE,12.5MG
ANDA076348,001,BENAZEPRIL HYDROCHLORIDE,5MG
ANDA076348,001,HYDROCHLOROTHIAZIDE,6.25MG
ANDA076348,004,BENAZEPRIL HYDROCHLORIDE,20MG
ANDA076348,004,HYDROCHLOROTHIAZIDE,25MG
ANDA076348,002,BENAZEPRIL HYDROCHLORIDE,10MG
ANDA076348,002,HYDROCHLOROTHIAZIDE,12.5MG
NDA017413,001,HEXACHLOROPHENE,330MG
ANDA076378,001,NIACIN,500MG
ANDA076378,002,NIACIN,750MG
ANDA076380,001,ETHINYL ESTRADIOL,0.02MG
ANDA076380,001,NORETHINDRONE ACETATE,1MG
ANDA076393,001,ETHINYL ESTRADIOL,0.035MG
ANDA076393,001,NORETHINDRONE,0.5MG
ANDA076395,004,DILTIAZEM HYDROCHLORIDE,300MG
ANDA076395,002,DILTIAZEM HYDROCHLORIDE,180MG
ANDA076395,005,DILTIAZEM HYDROCHLORIDE,360MG
ANDA076395,003,DILTIAZEM HYDROCHLORIDE,240MG
ANDA076395,001,DILTIAZEM HYDROCHLORIDE,120MG
ANDA076403,001,GABAPENTIN,250MG
ANDA076440,001,RISPERIDONE,1MG
NDA017427,001,SODIUM CHLORIDE,900MG
ANDA076486,001,ENALAPRIL MALEATE,5MG
ANDA076486,001,HYDROCHLOROTHIAZIDE,12.5MG
ANDA076486,002,ENALAPRIL MALEATE,10MG
ANDA076486,002,HYDROCHLOROTHIAZIDE,25MG
NDA017431,001,PILOCARPINE,5MG
ANDA076491,001,POLYETHYLENE GLYCOL 3350,420GM
ANDA076491,001,POTASSIUM CHLORIDE,1.48GM
ANDA076491,001,SODIUM BICARBONATE,5.72GM
ANDA076491,001,SODIUM CHLORIDE,11.2GM
ANDA076500,001,ADENOSINE,3MG
ANDA076503,001,ISOTRETINOIN,30MG
NDA017438,001,CALCIUM CHLORIDE,36.8MG
NDA017438,001,MAGNESIUM CHLORIDE,30.5MG
NDA017438,001,POTASSIUM CHLORIDE,74.6MG
NDA017438,001,SODIUM ACETATE,640MG
NDA017438,001,SODIUM CHLORIDE,496MG
NDA017438,001,SODIUM LACTATE,89.6MG
ANDA076523,001,MEFLOQUINE HYDROCHLORIDE,250MG
ANDA076563,005,DILTIAZEM HYDROCHLORIDE,300MG
ANDA076563,003,DILTIAZEM HYDROCHLORIDE,180MG
ANDA076563,001,DILTIAZEM HYDROCHLORIDE,420MG
ANDA076563,006,DILTIAZEM HYDROCHLORIDE,360MG
ANDA076563,004,DILTIAZEM HYDROCHLORIDE,240MG
ANDA076563,002,DILTIAZEM HYDROCHLORIDE,120MG
ANDA076573,001,ESMOLOL HYDROCHLORIDE,10MG
ANDA076573,002,ESMOLOL HYDROCHLORIDE,20MG
ANDA076576,002,SOTALOL HYDROCHLORIDE,120MG
ANDA076576,003,SOTALOL HYDROCHLORIDE,160MG
ANDA076576,001,SOTALOL HYDROCHLORIDE,80MG
ANDA076578,001,ZOLPIDEM TARTRATE,5MG
ANDA076578,002,ZOLPIDEM TARTRATE,10MG
ANDA076583,001,KETOROLAC TROMETHAMINE,0.5%
ANDA076616,001,OFLOXACIN,0.3%
NDA017451,001,DEXTROSE,5GM
NDA017451,001,MAGNESIUM CHLORIDE,30MG
NDA017451,001,POTASSIUM CHLORIDE,37MG
NDA017451,001,SODIUM ACETATE,368MG
NDA017451,001,SODIUM CHLORIDE,526MG
NDA017451,001,SODIUM GLUCONATE,502MG
ANDA076650,001,METFORMIN HYDROCHLORIDE,500MG
ANDA076679,001,MOMETASONE FUROATE,0.1%
ANDA076681,001,DESOGESTREL,0.15MG
ANDA076681,001,ETHINYL ESTRADIOL,0.02MG
ANDA076698,002,METOLAZONE,5MG
ANDA076698,003,METOLAZONE,10MG
ANDA076698,001,METOLAZONE,2.5MG
ANDA076729,001,CARBAMAZEPINE,100MG
ANDA076733,001,MORPHINE SULFATE,15MG
ANDA076736,001,FLUCONAZOLE,200MG
ANDA076740,001,NIMODIPINE,30MG
ANDA076795,001,LITHIUM CARBONATE,300MG
